Comment,Description,Designator,Footprint,LibRef,Quantity
SW_2P,,"Button, Reset",SW_2P_4,SW_2P,2
"0.1uF,0402",,"C1, C2, C3, C8, C9, C10, C11, C12, C17, C18, C19, C20, C21, C22, C23, C26, C27, C28, C29, C34, C35, C44, C45, C47, C48",C0402,Cap,25
"22uF,0603",,"C4, C5, C13, C14",C0603,Cap,4
"10uF,0603",,"C6, C15, C40",C0603,Cap,3
"10pF,0402",,"C7, C16",C0402,Cap,2
"4.7uF,0402",,"C24, C25, C36, C37",C0402,Cap,4
"*0.1uF,0402",,"C30, C31, C32, C33",C0402,Cap,4
"12pF,0402",,"C38, C39",C0402,Cap,2
"20pF,0402",,"C42, C43",C0402,Cap,2
1N5819,,"D1, D2",SOD-323,Diode - Schottky,2
"5V,1.5A,0805",,F1,F0805,Fuse,1
TypeC_F,Female SMD Connector,"J1, J2",Type-C_16P_F_0.5_DIP,Type-C_16P_F_0.5,2
Jump_2,,"J3, J4",Jp0603,Jump_2,2
2.2uH,,"L1, L2",IND_252010_SMD,Ind,2
"green,0603",,LD1,LED0603,Diode - LED,1
"blue,0603",,LD2,LED0603,Diode - LED,1
"white,0603",,LD3,LED0603,Diode - LED,1
MicroSD,,P1,MicroSD,MicroSD,1
Header_11,,P2,Header_11,Header_11,1
PJ-320D,Audio jack,P3,PJ-320D,PJ-320D,1
Header_4,,P4,HEADER_4_SMD,Header_4,1
Header_2_2mm,,P5,Header_2_2mm,Header_2,1
Header_6_SMD,,P6,HEADER_6_SMD,Header_6,1
Header_2_SMD,,P7,HEADER_2_SMD,Header_2,1
"5.1KΩ,0402",,"R1, R2, R10, R11",R0402,Res,4
"4.7KΩ,0402",,"R3, R4, R5, R6, R7, R8, R9, R19, R20, R21",R0402,Res,10
"680KΩ,0402",,"R12, R26",R0402,Res,2
"150KΩ,0402",,"R13, R15",R0402,Res,2
"75KΩ,0402",,R14,R0402,Res,1
"100KΩ,0402",,R16,R0402,Res,1
"*0Ω,0402",,R17,R0402,Res,1
"*4.7KΩ,0402",,"R22, R23",R0402,Res,2
"33Ω,0402",,"R24, R25, R27",R0402,Res,3
"75Ω,0402",,R28,R0402,Res,1
"4.7Ω,0402",,"R29, R30",R0402,Res,2
"240Ω,0402,1%",,R31,R0402,Res,1
"10KΩ,0402",,R34,R0402,Res,1
TP,,"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12",TP,TP,12
CH340E,,U1,MSOP-10,CH340E,1
TPD4E05U06,,"U2, U3",USON-10,TPD4E05U06,2
SY8088,,"U4, U11",SOT-23-5p,SY8088,2
SPI Flash,,U6,WSON8,SPI Flash,1
USB Wi-Fi Module,BL-M8188FU3 RTL8188FTV,U8,BL-M8188FU3,USB Wi-Fi Module,1
Allwinner T113-s3,,U9,eLQFP128,Allwinner T113-s3,1
LIS3DH,,U10,LGA-16,LIS3DH,1
32.768kHz,,X1,XTAL_3215_32.768KHz,XTAL,1
24MHz,,X2,XTAL_SMD_3225,XTAL,1